model,pattern,topk,n_samples,em,f1,bleu,rouge1,rouge2,rougeL,meteor,bertscore_f1,bertscore_p
Qwen2.5-3B,rag_self_refinement,10,500,0.0,0.2516939426440924,0.047380529970551,0.3190030720648571,0.1395800090420493,0.24062606137852,0.2340313875094746,0.8150756769180297,
Llama-3.2-3B-Instruct,baseline,1,500,0.0,0.2243716057127663,0.0566093074570914,0.3136669273025465,0.1167919809751117,0.2267666316093287,0.2299571953712746,0.8005469489693642,
Llama-3.2-3B-Instruct,rag,1,500,0.0,0.2291774414997578,0.068611519780652,0.3133713538220014,0.1379195673266233,0.2333161217954419,0.2302866552738202,0.7755081631541252,
Llama-3.2-3B-Instruct,rag,5,500,0.0,0.2419868513098477,0.0824225983871562,0.3357269071259778,0.1500594991984591,0.2448233314186624,0.2494607157602049,0.7883598645329475,
Llama-3.2-3B-Instruct,rag,10,500,0.002,0.2515540064803612,0.0936909909755825,0.3460787607015104,0.1600417158808,0.2539428016723724,0.2674282907798122,0.7907310475111008,
Llama-3.2-3B-Instruct,rag_graphs,1,500,0.002,0.2234539474126045,0.0679024619366383,0.3034483109266164,0.1351747125023698,0.228920766020036,0.2215246731583555,0.7704252182841301,
Llama-3.2-3B-Instruct,rag_graphs,5,500,0.002,0.2361650126939113,0.0872959376833307,0.3273186563044,0.1477331325469189,0.2390298097299235,0.2557158085540487,0.781586694419384,
Llama-3.2-3B-Instruct,rag_graphs,10,500,0.0,0.2353672193783144,0.0895995210648851,0.3272677923125995,0.1510114085063346,0.2404691860037702,0.2552526421485295,0.7791307747364045,
Llama-3.2-3B-Instruct,rag_routing,1,500,0.004,0.2339328086318427,0.0712669640013987,0.3179614326526424,0.1433198993753288,0.2382060465091305,0.2335424178633266,0.7769067261815071,
Llama-3.2-3B-Instruct,rag_routing,5,500,0.002,0.2339455723023601,0.0855536410596236,0.3226469895144476,0.1473384381911266,0.2341725944095335,0.249498935293694,0.7771528963446617,
Llama-3.2-3B-Instruct,rag_routing,10,500,0.0,0.2296845911846353,0.0833207642824746,0.3220676494580717,0.1424329538989853,0.232479238068205,0.2440711088080169,0.7811081973910332,
Llama-3.2-3B-Instruct,rag_collaboration,1,500,0.0,0.2025379979679673,0.06123882267173,0.2787147342241212,0.1052362773086556,0.1966929416498251,0.2092815518795993,0.7750961629152298,
Llama-3.2-3B-Instruct,rag_collaboration,5,500,0.0,0.2017301648790959,0.0618126699117634,0.2770114353550986,0.1008674265859164,0.1919330318216523,0.2141229746738786,0.7703779048323631,
Llama-3.2-3B-Instruct,rag_collaboration,10,500,0.0,0.1856196643025869,0.0586675071479846,0.2620102683957247,0.0948131470655407,0.1819867391723627,0.207024553252872,0.7549059915542603,
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,rag_self_refinement,1,500,0.0,0.2440495757029772,0.0552528785895421,0.3276945231303962,0.1346825406842155,0.2421191368375731,0.2396142989950375,0.8155090689659119,
DeepSeek-R1-Distill-Qwen-1.5B-GGUF,rag_self_refinement,5,500,0.0,0.2286366890597296,0.0665016321758632,0.3156728301821788,0.1187973953414807,0.2198428730573328,0.2505151164825855,0.8047829148769379,
Llama-3.2-3B-Instruct,rag_self_refinement,1,500,0.002,0.1284302594528124,0.0356116132019894,0.1743363934450553,0.0726949837306067,0.1246423910385509,0.1258445385486034,0.6412662296891213,
Llama-3.2-3B-Instruct,rag_self_refinement,5,500,0.0,0.1217371622708438,0.039815469069922,0.1685161234064615,0.0756673527649889,0.1220144810614366,0.126461080831382,0.6231647672057152,
Llama-3.2-3B-Instruct,rag_self_refinement,10,500,0.0,0.1164667025743254,0.0389772877593186,0.1574033887722707,0.0711018201776327,0.1167409742549019,0.1203705465405435,0.6204702082276344,
gpt-oss-20b,baseline,1,500,0.0,0.1860824964980843,0.0315292146983781,0.2678698294296072,0.1084004073672793,0.1999846425222226,0.2671496370345474,0.7807744475603103,0.7677688816785813
gpt-oss-20b,rag,1,500,0.0,0.0192436917340214,0.0,0.0186129003742935,0.0012856418342146,0.0179136224125249,0.0116801730616715,0.658924437046051,0.6746118541955948
gpt-oss-20b,rag,5,500,0.0,0.0192436917340214,0.0,0.0186129003742935,0.0012856418342146,0.0179136224125249,0.0116801730616715,0.658924437046051,0.6746118541955948
gpt-oss-20b,rag,10,500,0.0,0.0192436917340214,0.0,0.0186129003742935,0.0012856418342146,0.0179136224125249,0.0116801730616715,0.658924437046051,0.6746118541955948
gpt-oss-20b,rag_graphs,1,500,0.0,0.0192436917340214,0.0,0.0186129003742935,0.0012856418342146,0.0179136224125249,0.0116801730616715,0.658924437046051,0.6746118541955948
gpt-oss-20b,rag_graphs,5,500,0.0,0.0192436917340214,0.0,0.0186129003742935,0.0012856418342146,0.0179136224125249,0.0116801730616715,0.658924437046051,0.6746118541955948
gpt-oss-20b,rag_graphs,10,500,0.0,0.0192436917340214,0.0,0.0186129003742935,0.0012856418342146,0.0179136224125249,0.0116801730616715,0.658924437046051,0.6746118541955948
gpt-oss-20b,rag_self_refinement,1,500,0.0,0.0192436917340214,0.0,0.0186129003742935,0.0012856418342146,0.0179136224125249,0.0116801730616715,0.658924437046051,0.6746118541955948
gpt-oss-20b,rag_self_refinement,5,500,0.0,0.0192436917340214,0.0,0.0186129003742935,0.0012856418342146,0.0179136224125249,0.0116801730616715,0.658924437046051,0.6746118541955948
gpt-oss-20b,rag_self_refinement,10,500,0.0,0.0192436917340214,0.0,0.0186129003742935,0.0012856418342146,0.0179136224125249,0.0116801730616715,0.658924437046051,0.6746118541955948
