model,pattern,topk,n_samples,em,f1,bleu,rouge1,rouge2,rougeL,meteor,bertscore_f1,bertscore_p
Qwen2.5-3B,baseline,1,500,0.0,0.2215959244273654,0.0358338440576523,0.2674070315708562,0.0857293010079418,0.2018764936956638,0.1960891506258875,0.7900698074102401,
Qwen2.5-3B,rag,1,500,0.0,0.208990926526827,0.060808776799568,0.258675833967554,0.0985007048449796,0.2001079123474088,0.215896529588277,0.7769524726867676,
Qwen2.5-3B,rag,5,500,0.0,0.2509602890419352,0.0791892957347238,0.3125336921991873,0.1247159932751663,0.234496102536047,0.2672587488780137,0.8083376941680909,
Qwen2.5-3B,rag,10,500,0.0,0.2522878168554705,0.0870915278627032,0.3187057134503579,0.1270747882366247,0.237516336029547,0.2764216508038092,0.8116851334571838,
Qwen2.5-3B,rag_graphs,1,500,0.0,0.2054570216337665,0.0632271925268372,0.2553370971041879,0.1011985122051958,0.1980946442068342,0.2180047741290821,0.7771101791858673,
Qwen2.5-3B,rag_routing,1,500,0.0,0.26748819384424,0.086119126328555,0.3230629848642027,0.1338618951935114,0.2483729381093589,0.2669920986686444,0.8087338849306106,
Qwen2.5-3B,rag_routing,5,500,0.0,0.2660877539450342,0.0983436642397289,0.3303088504596796,0.1358052546476011,0.2456342913580445,0.2949646174314783,0.815015563249588,
Qwen2.5-3B,rag_routing,10,500,0.0,0.2646927994698098,0.1024326847531664,0.327896818379005,0.1350666838908651,0.2461041128873252,0.2985058603789698,0.8163798773288726,
Llama-3.2-3B-Instruct,baseline,1,500,0.0,0.2145045405876379,0.0584834317368024,0.2759618707593803,0.0923231491952456,0.2081065133319137,0.2306031582865669,0.7876195870637893,
Llama-3.2-3B-Instruct,rag,1,500,0.0,0.2232467874503802,0.0745977953873095,0.2852477555301238,0.1098647542379026,0.2197012272858484,0.2347000337254581,0.7829791632294655,
Llama-3.2-3B-Instruct,rag,5,500,0.0,0.2285373481487271,0.0754579713015447,0.2956067979349213,0.118885776743284,0.2230566798024013,0.2565245522323136,0.7867044963240624,
Llama-3.2-3B-Instruct,rag,10,500,0.0,0.2339078760489418,0.0839655844210102,0.3033020739051795,0.1211751059319009,0.2249295467795389,0.2672647169990845,0.7846839348077774,
Llama-3.2-3B-Instruct,rag_graphs,1,500,0.0,0.2234359842632862,0.0764397992828344,0.2854988758213523,0.1142712853396784,0.2184584010907147,0.2403115821380057,0.7785281225442886,
Llama-3.2-3B-Instruct,rag_graphs,5,500,0.0,0.2232856659496446,0.0771632795057376,0.2918134850908663,0.1149729937615356,0.2158381261714655,0.2603779267100328,0.7805506650805474,
Llama-3.2-3B-Instruct,rag_graphs,10,500,0.0,0.2214037461623734,0.0710893458590674,0.289551510901232,0.1167292257872217,0.2179829660422662,0.2624023919136498,0.7754103855490685,
Llama-3.2-3B-Instruct,rag_routing,1,500,0.0,0.2234485361914827,0.0711454157591361,0.2885299644026204,0.112327118533254,0.2186593407825141,0.2385595537347577,0.7770714882016182,
Llama-3.2-3B-Instruct,rag_routing,5,500,0.002,0.2190811758470812,0.0731812446237227,0.2823101391057917,0.1132888079007063,0.2104010046854374,0.2538265056987692,0.7700471544265747,
Llama-3.2-3B-Instruct,rag_routing,10,500,0.0,0.2164772916175801,0.0685699576810681,0.28038565668687,0.109073597510147,0.2078022702626135,0.2548236514299126,0.7717704970240593,
Qwen2.5-3B,rag_collaboration,1,500,0.0,0.2525150614302452,0.0727037305378617,0.306312002201991,0.1226114942050499,0.2318077737380363,0.2622624584725443,0.8077244092226028,
Qwen2.5-3B,rag_collaboration,5,500,0.0,0.2458828074170979,0.0815101924111482,0.3031924317041393,0.1187226355202708,0.229534790363106,0.2773536041238178,0.8079924069643021,
Qwen2.5-3B,rag_collaboration,10,500,0.0,0.2547833747243097,0.0901279693112378,0.3106535143234397,0.1254591957443013,0.234128093826188,0.2845423736174824,0.8116831374168396,
Qwen2.5-3B,rag_self_refinement,1,500,0.0,0.2538441445492281,0.0692121286954556,0.3049596751350835,0.1216525681766393,0.2354208053047016,0.2635935227162551,0.8109961341619492,
Qwen2.5-3B,rag_self_refinement,5,500,0.0,0.249246703617683,0.0750694815218597,0.3024817960202686,0.1215863243746573,0.2352602622920278,0.2699799800607929,0.8100839774608612,
Qwen2.5-3B,rag_self_refinement,10,500,0.0,0.2513131844703513,0.0762230951540761,0.3040766737629828,0.120363389338498,0.2331801168310025,0.2687990762091611,0.8120305489301681,
Llama-3.2-3B-Instruct,rag_collaboration,1,500,0.0,0.2009912410830839,0.060242434448991,0.2608830851179754,0.092094874374223,0.1953982486727131,0.2373562914341093,0.7730419713258744,
Llama-3.2-3B-Instruct,rag_collaboration,5,500,0.0,0.1899202166009984,0.0532820001596261,0.2483754264974567,0.0921893386168098,0.183435399761243,0.2341521519855567,0.7519253589510918,
Llama-3.2-3B-Instruct,rag_collaboration,10,500,0.0,0.1993018190914183,0.0566349426872614,0.2621792565524156,0.0964755313881323,0.1916952936742659,0.241592313882984,0.7626326724290847,
Llama-3.2-3B-Instruct,rag_self_refinement,1,500,0.0,0.118680099336167,0.0232727127731894,0.1522830090210525,0.0640331144729563,0.1174935797162415,0.1279111375197649,0.6279385246038437,
Llama-3.2-3B-Instruct,rag_self_refinement,5,500,0.0,0.1009618480428117,0.018007624515396,0.1307266914862294,0.051799675978776,0.0981597259364998,0.1164520822905735,0.6005821586251259,
Llama-3.2-3B-Instruct,rag_self_refinement,10,500,0.0,0.0924535013349416,0.018650969652835,0.1191287589393563,0.0495870655242332,0.0906344211157828,0.1065357948662388,0.5900000416040421,
gpt-oss-20b,baseline,1,500,0.0,0.1358553296633035,0.0219618838506007,0.1886626619719781,0.0641102331908508,0.1392019477023011,0.2319935244925352,0.7410819589495659,
gpt-oss-20b,rag,1,500,0.0,0.1590336359464078,0.0273714595855425,0.2122002004050738,0.086560586192132,0.1606088092287463,0.2557426831377785,0.7525437985658645,
gpt-oss-20b,rag,5,500,0.0,0.1765792357391431,0.0310163197212632,0.2332396609348381,0.0957608711555613,0.1723917565762757,0.27611987340276,0.7586262530088425,
gpt-oss-20b,rag,10,500,0.0,0.1753088246963327,0.033166623717934,0.2368323250266782,0.0989337179389595,0.1786023207844874,0.2816726463768387,0.7619887270331382,
gpt-oss-20b,rag_graphs,1,500,0.0,0.1664544179796409,0.0301191624220986,0.2227020658040439,0.0905083310510803,0.166244644698498,0.2615469360744542,0.7552946353554726,
gpt-oss-20b,rag_graphs,5,500,0.0,0.1718926174269193,0.0303696303725031,0.2302304273523842,0.0938781142389864,0.1734492433684195,0.278840139211097,0.7590483821630478,
gpt-oss-20b,rag_graphs,10,500,0.0,0.1765916132605537,0.0325906390457027,0.2360718802484941,0.096991816195064,0.1749952155429958,0.2841365764087155,0.7612831404209137,
gpt-oss-20b,rag_routing,1,500,0.0,0.1727048839866972,0.0295112369470078,0.228895062520205,0.094220897536285,0.1712705256931068,0.2678407714161555,0.7576728796958924,
gpt-oss-20b,rag_routing,5,500,0.0,0.1677877895087657,0.0310194926637469,0.2252287463244652,0.0949443358178722,0.1701651440390683,0.278331795562149,0.7569845051765441,
gpt-oss-20b,rag_routing,10,500,0.0,0.2347648188044403,0.0328425783546916,0.3015111955733134,0.1282220252968475,0.233245532486224,0.2931845690058074,0.7959311511516571,0.7776161799430847
gpt-oss-20b,rag_collaboration,1,500,0.0,0.1881941986246626,0.0180396005904021,0.2412758982499116,0.0899111401558014,0.183733438362499,0.239393921724461,0.7662247918248176,0.7409773068428039
gpt-oss-20b,rag_collaboration,5,500,0.002,0.2084471712231971,0.0246546111911377,0.2693405925046227,0.1065724221370065,0.2059543802079787,0.2651086330739589,0.7824004694223404,0.7607303466796875
gpt-oss-20b,rag_collaboration,10,500,0.0,0.1987794675146106,0.0231109961306953,0.259058207403738,0.0987265505339051,0.1956870828702822,0.2561330357501342,0.7755580586791039,0.7516016499996185
gpt-oss-20b,rag_self_refinement,1,500,0.0,0.026661983519977,0.0,0.0258777710506619,0.0017139274027216,0.0250294945082584,0.0158856480423095,0.6667215685844421,0.6694383589029312
gpt-oss-20b,rag_self_refinement,5,500,0.0,0.026661983519977,0.0,0.0258777710506619,0.0017139274027216,0.0250294945082584,0.0158856480423095,0.6667215685844421,0.6694383589029312
gpt-oss-20b,rag_self_refinement,10,500,0.0,0.026661983519977,0.0,0.0258777710506619,0.0017139274027216,0.0250294945082584,0.0158856480423095,0.6667215685844421,0.6694383589029312
gpt-oss-20b,rag_routing,5,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0190542529873613,0.6720817788441976,0.6986980984608332
